name,x,y
Adana, -6.0, -133.0
Adıyaman, 161.0, -101.0
Afyonkarahisar, -311.0, -32.0
Ağrı, 466.0, 38.0
Amasya, 17.0, 121.0
Ankara, -186.0, 55.0
Antalya, -271.0, -152.0
Artvin, 390.0, 159.0
Aydın, -455.0, -98.0
Balıkesir, -473.0, 44.0
Bilecik, -326.0, 78.0
Bingöl, 322.0, -1.0
Bitlis, 416.0, -45.0
Bolu, -224.0, 115.0
Burdur, -327.0, -119.0
Bursa, -400.0, 74.0
Çanakkale, -538.0, 65.0
Çankırı, -127.0, 120.0
Çorum, -57.0, 109.0
Denizli, -381.0, -95.0
Diyarbakır, 285.0, -75.0
Edirne, -538.0, 155.0
Elazığ, 245.0, -34.0
Erzincan, 222.0, 46.0
Erzurum, 361.0, 63.0
Eskişehir, -279.0, 44.0
Gaziantep, 117.0, -144.0
Giresun, 184.0, 124.0
Gümüşhane, 230.0, 94.0
Hakkari, 511.0, -118.0
Hatay, 49.0, -201.0
Isparta, -287.0, -79.0
Mersin, -86.0, -167.0
İstanbul, -397.0, 147.0
İzmir, -491.0, -64.0
Kars, 463.0, 94.0
Kastamonu, -125.0, 181.0
Kayseri, 12.0, -26.0
Kırklareli, -495.0, 194.0
Kırşehir, -89.0, 16.0
Kocaeli, -341.0, 133.0
Konya, -196.0, -75.0
Kütahya, -360.0, 11.0
Malatya, 152.0, -35.0
Manisa, -449.0, -26.0
Kahramanmaraş, 70.0, -88.0
Mardin, 322.0, -130.0
Muğla, -437.0, -140.0
Muş, 391.0, -5.0
Nevşehir, -54.0, -25.0
Niğde, -48.0, -79.0
Ordu, 131.0, 129.0
Rize, 330.0, 133.0
Sakarya, -302.0, 121.0
Samsun, 38.0, 154.0
Siirt, 411.0, -88.0
Sinop, -30.0, 185.0
Sivas, 108.0, 39.0
Tekirdağ, -497.0, 145.0
Tokat, 71.0, 94.0
Trabzon, 261.0, 123.0
Tunceli, 230.0, 3.0
Şanlıurfa, 215.0, -134.0
Uşak, -371.0, -41.0
Van, 508.0, -53.0
Yozgat, -14.0, 42.0
Zonguldak, -226.0, 163.0
Aksaray, -105.0, -53.0
Bayburt, 290.0, 86.0
Karaman, -131.0, -140.0
Kırıkkale, -107.0, 57.0
Batman, 364.0, -95.0
Şırnak, 436.0, -118.0
Bartın, -182.0, 183.0
Ardahan, 450.0, 147.0
Iğdır, 521.0, 55.0
Yalova, -383.0, 115.0
Karabük, -179.0, 147.0
Kilis, 102.0, -165.0
Osmaniye, 46.0, -135.0
Düzce, -257.0, 137.0